vi file1_05072020.csv
trans_id,trans_dt,trans_amt,cust_id
1,31/01/2019,4000,10
2,31/01/2019,3000,11
3,31/01/2019,5000,12
4,31/01/2019,2000,13
------------------------------------------------------
vi file2_05072020.csv
trans_id,trans_dt,trans_amt,cust_id
1,01/01/2019,4000,9
2,01/01/2019,3000,10
3,01/01/2019,5000,11
4,01/01/2019,2000,12
-------------------------------------------------------
vi file3_05072020.csv
trans_id,trans_dt,trans_amt,cust_id
1,02/01/2019,4000,9
2,02/01/2019,3000,11
3,02/01/2019,5000,12
4,03/01/2019,2000,14
--------------------------------------------------------
vi file4_05072020.csv
--------------------------------------------------------
